Date,Region,Product,Sales,Profit,Quantity
2023-04-13,South,Mobile,49285,8812,1
2024-03-11,East,Tablet,20063,5897,4
2023-12-15,East,Accessories,3106,9308,14
2023-09-28,South,Accessories,25557,7199,1
2023-04-17,South,Laptop,49854,5209,14
2023-03-13,South,Laptop,21607,6744,16
2023-07-08,North,Mobile,38599,216,14
2023-01-21,West,Laptop,29529,2533,3
2023-04-13,North,Tablet,36954,5563,3
2023-05-02,North,Accessories,28856,683,9
2024-04-11,East,Mobile,3573,8686,6
2023-08-03,South,Laptop,13808,3888,13
2023-11-27,West,Tablet,36367,4267,2
2024-04-03,East,Tablet,37801,8565,8
2023-03-29,North,Laptop,42196,1489,2
2024-01-08,South,Accessories,35072,8457,4
2023-04-10,East,Laptop,24752,9859,15
2023-12-26,South,Mobile,18685,6254,4
2023-06-01,East,Laptop,42401,5520,13
2023-05-11,South,Tablet,12372,9020,12
2023-05-30,North,Laptop,9996,2143,13
2023-11-05,West,Accessories,17458,4297,14
2023-09-15,North,Headphones,32889,3596,18
2023-12-10,West,Laptop,27665,878,6
2024-05-06,South,Accessories,39243,313,11
2024-02-18,East,Accessories,32653,3862,2
2023-10-21,North,Tablet,27657,9868,19
2024-01-21,West,Accessories,40952,6831,19
2023-07-11,North,Accessories,23180,3217,5
2024-03-19,West,Accessories,32896,5891,19
2023-10-04,North,Accessories,13875,8883,2
2023-06-10,West,Mobile,2622,2820,10
2024-04-04,West,Mobile,49756,9005,2
2023-11-10,South,Tablet,41809,9227,11
2023-01-22,West,Laptop,17725,6147,18
2023-09-10,South,Accessories,41760,8132,15
2023-08-24,West,Laptop,16646,101,9
2023-12-11,East,Laptop,18029,6468,19
2023-02-18,East,Tablet,30402,2049,9
2024-04-19,East,Accessories,5263,6832,3
2023-02-28,West,Accessories,31987,7933,9
2023-06-19,South,Headphones,47828,1017,14
2024-04-20,South,Laptop,48924,3274,19
2023-07-07,West,Laptop,9646,7114,7
2024-04-08,East,Mobile,28529,189,16
2023-09-28,East,Headphones,12664,1809,16
2023-07-09,South,Mobile,36737,3141,1
2024-03-21,East,Mobile,36796,205,4
2023-06-24,North,Mobile,25027,9178,4
2024-03-21,South,Tablet,30373,8719,7
2023-02-20,East,Tablet,37397,1995,8
2023-12-30,South,Mobile,21609,6190,17
2023-02-24,North,Headphones,36835,8608,5
2023-09-01,South,Laptop,39709,6182,7
2023-11-16,South,Headphones,20250,734,4
2023-05-11,South,Accessories,22172,2025,6
2024-04-29,South,Tablet,12555,2156,7
2023-11-03,North,Laptop,22874,7017,18
2023-05-15,West,Laptop,14081,3244,5
2023-01-21,South,Accessories,25063,9731,3
